PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"22487031","Re-evaluating the role of the orbitofrontal cortex in reward and reinforcement","Noonan MP, Kolling N, Walton ME, Rushworth MF.","Eur J Neurosci. 2012 Apr;35(7):997-1010. doi: 10.1111/j.1460-9568.2012.08023.x.","Noonan MP","Eur J Neurosci","2012","2012/04/11","","","10.1111/j.1460-9568.2012.08023.x"
"22438275","Resting-state networks show dynamic functional connectivity in awake humans and anesthetized macaques","Hutchison RM, Womelsdorf T, Gati JS, Everling S, Menon RS.","Hum Brain Mapp. 2013 Sep;34(9):2154-77. doi: 10.1002/hbm.22058. Epub 2012 Mar 22.","Hutchison RM","Hum Brain Mapp","2013","2012/03/23","PMC6870538","","10.1002/hbm.22058"
"22438122","Retinotopic mapping of the peripheral visual field to human visual cortex by functional magnetic resonance imaging","Wu J, Yan T, Zhang Z, Jin F, Guo Q.","Hum Brain Mapp. 2012 Jul;33(7):1727-40. doi: 10.1002/hbm.21324. Epub 2012 Mar 22.","Wu J","Hum Brain Mapp","2012","2012/03/23","PMC6870278","","10.1002/hbm.21324"
"21641741","Investigating static nonlinearities in neurovascular coupling","Magri C, Logothetis NK, Panzeri S.","Magn Reson Imaging. 2011 Dec;29(10):1358-64. doi: 10.1016/j.mri.2011.04.017. Epub 2011 Jun 8.","Magri C","Magn Reson Imaging","2011","2011/06/07","","","10.1016/j.mri.2011.04.017"
"21378972","Orthogonal representation of sound dimensions in the primate midbrain","Baumann S, Griffiths TD, Sun L, Petkov CI, Thiele A, Rees A.","Nat Neurosci. 2011 Apr;14(4):423-5. doi: 10.1038/nn.2771. Epub 2011 Mar 6.","Baumann S","Nat Neurosci","2011","2011/03/08","PMC3068195","UKMS34219","10.1038/nn.2771"
"21273409","Vascularization of cytochrome oxidase-rich blobs in the primary visual cortex of squirrel and macaque monkeys","Keller AL, Schüz A, Logothetis NK, Weber B.","J Neurosci. 2011 Jan 26;31(4):1246-53. doi: 10.1523/JNEUROSCI.2765-10.2011.","Keller AL","J Neurosci","2011","2011/01/29","PMC6623626","","10.1523/JNEUROSCI.2765-10.2011"
"20032247","The functional anatomy of a perceptual decision in the human brain","Kayser AS, Buchsbaum BR, Erickson DT, D'Esposito M.","J Neurophysiol. 2010 Mar;103(3):1179-94. doi: 10.1152/jn.00364.2009. Epub 2009 Dec 23.","Kayser AS","J Neurophysiol","2010","2009/12/25","PMC2887630","","10.1152/jn.00364.2009"
"19683056","Functional magnetic resonance imaging of awake behaving macaques","Goense JB, Whittingstall K, Logothetis NK.","Methods. 2010 Mar;50(3):178-88. doi: 10.1016/j.ymeth.2009.08.003. Epub 2009 Aug 13.","Goense JB","Methods","2010","2009/08/18","","","10.1016/j.ymeth.2009.08.003"
"19474330","Visual field map clusters in macaque extrastriate visual cortex","Kolster H, Mandeville JB, Arsenault JT, Ekstrom LB, Wald LL, Vanduffel W.","J Neurosci. 2009 May 27;29(21):7031-9. doi: 10.1523/JNEUROSCI.0518-09.2009.","Kolster H","J Neurosci","2009","2009/05/29","PMC2749229","NIHMS120978","10.1523/JNEUROSCI.0518-09.2009"
"19429864","Number processing pathways in human parietal cortex","Santens S, Roggeman C, Fias W, Verguts T.","Cereb Cortex. 2010 Jan;20(1):77-88. doi: 10.1093/cercor/bhp080.","Santens S","Cereb Cortex","2010","2009/05/12","PMC2792188","","10.1093/cercor/bhp080"
"19285143","Visual features of an observed agent do not modulate human brain activity during action observation","Turella L, Erb M, Grodd W, Castiello U.","Neuroimage. 2009 Jul 1;46(3):844-53. doi: 10.1016/j.neuroimage.2009.03.002. Epub 2009 Mar 10.","Turella L","Neuroimage","2009","2009/03/17","","","10.1016/j.neuroimage.2009.03.002"
"19225169","Neural representations of faces and body parts in macaque and human cortex: a comparative FMRI study","Pinsk MA, Arcaro M, Weiner KS, Kalkus JF, Inati SJ, Gross CG, Kastner S.","J Neurophysiol. 2009 May;101(5):2581-600. doi: 10.1152/jn.91198.2008. Epub 2009 Feb 18.","Pinsk MA","J Neurophysiol","2009","2009/02/20","PMC2681436","","10.1152/jn.91198.2008"
"18684663","Voice processing in monkey and human brains","Scott SK.","Trends Cogn Sci. 2008 Sep;12(9):323-5. doi: 10.1016/j.tics.2008.06.003. Epub 2008 Aug 4.","Scott SK","Trends Cogn Sci","2008","2008/08/08","","","10.1016/j.tics.2008.06.003"
"18622399","Patches of face-selective cortex in the macaque frontal lobe","Tsao DY, Schweers N, Moeller S, Freiwald WA.","Nat Neurosci. 2008 Aug;11(8):877-9. doi: 10.1038/nn.2158. Epub 2008 Jul 11.","Tsao DY","Nat Neurosci","2008","2008/07/16","PMC8123225","HHMIMS1699506","10.1038/nn.2158"
"18416684","Feedforward and recurrent processing in scene segmentation: electroencephalography and functional magnetic resonance imaging","Scholte HS, Jolij J, Fahrenfort JJ, Lamme VA.","J Cogn Neurosci. 2008 Nov;20(11):2097-109. doi: 10.1162/jocn.2008.20142.","Scholte HS","J Cogn Neurosci","2008","2008/04/18","","","10.1162/jocn.2008.20142"
"18082250","Mirror neurons in humans: consisting or confounding evidence?","Turella L, Pierno AC, Tubaldi F, Castiello U.","Brain Lang. 2009 Jan;108(1):10-21. doi: 10.1016/j.bandl.2007.11.002. Epub 2007 Dec 21.","Turella L","Brain Lang","2009","2007/12/18","","","10.1016/j.bandl.2007.11.002"
"17971871","Comparing natural and constrained movements: new insights into the visuomotor control of grasping","Begliomini C, Caria A, Grodd W, Castiello U.","PLoS One. 2007 Oct 31;2(10):e1108. doi: 10.1371/journal.pone.0001108.","Begliomini C","PLoS One","2007","2007/11/01","PMC2040199","","10.1371/journal.pone.0001108"
