PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30765166","Manipulation of Subcortical and Deep Cortical Activity in the Primate Brain Using Transcranial Focused Ultrasound Stimulation","Folloni D, Verhagen L, Mars RB, Fouragnan E, Constans C, Aubry JF, Rushworth MFS, Sallet J.","Neuron. 2019 Mar 20;101(6):1109-1116.e5. doi: 10.1016/j.neuron.2019.01.019. Epub 2019 Feb 11.","Folloni D","Neuron","2019","2019/02/16","PMC6520498","","10.1016/j.neuron.2019.01.019"
"30747105","Offline impact of transcranial focused ultrasound on cortical activation in primates","Verhagen L, Gallea C, Folloni D, Constans C, Jensen DE, Ahnine H, Roumazeilles L, Santin M, Ahmed B, Lehericy S, Klein-Flügge MC, Krug K, Mars RB, Rushworth MF, Pouget P, Aubry JF, Sallet J.","Elife. 2019 Feb 12;8:e40541. doi: 10.7554/eLife.40541.","Verhagen L","Elife","2019","2019/02/13","PMC6372282","","10.7554/eLife.40541"
"30674668","Submillimeter fMRI reveals a layout of dorsal visual cortex in macaques, remarkably similar to New World monkeys","Zhu Q, Vanduffel W.","Proc Natl Acad Sci U S A. 2019 Feb 5;116(6):2306-2311. doi: 10.1073/pnas.1805561116. Epub 2019 Jan 23.","Zhu Q","Proc Natl Acad Sci U S A","2019","2019/01/25","PMC6369784","","10.1073/pnas.1805561116"
"30668705","Biological Characteristics of Connection-Wise Resting-State Functional Connectivity Strength","Pijnenburg R, Scholtens LH, Mantini D, Vanduffel W, Barrett LF, van den Heuvel MP.","Cereb Cortex. 2019 Dec 17;29(11):4646-4653. doi: 10.1093/cercor/bhy342.","Pijnenburg R","Cereb Cortex","2019","2019/01/23","PMC7049309","","10.1093/cercor/bhy342"
"30597044","Pain-related behavior and brain activation in cynomolgus macaques with naturally occurring endometriosis","Yano M, Matsuda A, Natsume T, Ogawa S, Awaga Y, Hayashi I, Hama A, Takamatsu H.","Hum Reprod. 2019 Mar 1;34(3):469-478. doi: 10.1093/humrep/dey383.","Yano M","Hum Reprod","2019","2019/01/01","","","10.1093/humrep/dey383"
"30530862","Intrinsic Functional Boundaries of Lateral Frontal Cortex in the Common Marmoset Monkey","Schaeffer DJ, Gilbert KM, Gati JS, Menon RS, Everling S.","J Neurosci. 2019 Feb 6;39(6):1020-1029. doi: 10.1523/JNEUROSCI.2595-18.2018. Epub 2018 Dec 10.","Schaeffer DJ","J Neurosci","2019","2018/12/12","PMC6363921","","10.1523/JNEUROSCI.2595-18.2018"
"30521952","Visual stimulus-driven functional organization of macaque prefrontal cortex","Haile TM, Bohon KS, Romero MC, Conway BR.","Neuroimage. 2019 Mar;188:427-444. doi: 10.1016/j.neuroimage.2018.11.060. Epub 2018 Dec 3.","Haile TM","Neuroimage","2019","2018/12/07","PMC6401279","NIHMS1519045","10.1016/j.neuroimage.2018.11.060"
"30510000","Two distinct profiles of fMRI and neurophysiological activity elicited by acetylcholine in visual cortex","Zaldivar D, Rauch A, Logothetis NK, Goense J.","Proc Natl Acad Sci U S A. 2018 Dec 18;115(51):E12073-E12082. doi: 10.1073/pnas.1808507115. Epub 2018 Dec 3.","Zaldivar D","Proc Natl Acad Sci U S A","2018","2018/12/05","PMC6304994","","10.1073/pnas.1808507115"
"30478797","Low-frequency fluctuation characteristics in rhesus macaques with SIV infection: a resting-state fMRI study","Zhao J, Chen F, Ren M, Li L, Li A, Jing B, Li H.","J Neurovirol. 2019 Apr;25(2):141-149. doi: 10.1007/s13365-018-0694-5. Epub 2018 Nov 26.","Zhao J","J Neurovirol","2019","2018/11/28","","","10.1007/s13365-018-0694-5"
"30419289","Intrinsic functional clustering of anterior cingulate cortex in the common marmoset","Schaeffer DJ, Gilbert KM, Ghahremani M, Gati JS, Menon RS, Everling S.","Neuroimage. 2019 Feb 1;186:301-307. doi: 10.1016/j.neuroimage.2018.11.005. Epub 2018 Nov 10.","Schaeffer DJ","Neuroimage","2019","2018/11/13","","","10.1016/j.neuroimage.2018.11.005"
"30395192","Homology and Specificity of Natural Sound-Encoding in Human and Monkey Auditory Cortex","Erb J, Armendariz M, De Martino F, Goebel R, Vanduffel W, Formisano E.","Cereb Cortex. 2019 Aug 14;29(9):3636-3650. doi: 10.1093/cercor/bhy243.","Erb J","Cereb Cortex","2019","2018/11/06","","","10.1093/cercor/bhy243"
"30355629","Functional MRI in Macaque Monkeys during Task Switching","Premereur E, Janssen P, Vanduffel W.","J Neurosci. 2018 Dec 12;38(50):10619-10630. doi: 10.1523/JNEUROSCI.1539-18.2018. Epub 2018 Oct 24.","Premereur E","J Neurosci","2018","2018/10/26","PMC6580658","","10.1523/JNEUROSCI.1539-18.2018"
"30295946","Intranasal oxytocin in rhesus monkeys alters brain networks that detect social salience and reward","Parr LA, Mitchell T, Hecht E.","Am J Primatol. 2018 Oct;80(10):e22915. doi: 10.1002/ajp.22915. Epub 2018 Sep 17.","Parr LA","Am J Primatol","2018","2018/10/09","PMC6381825","NIHMS1000439","10.1002/ajp.22915"
