PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"19079541","Connectivity of the primate superior colliculus mapped by concurrent microstimulation and event-related FMRI","Field CB, Johnston K, Gati JS, Menon RS, Everling S.","PLoS One. 2008;3(12):e3928. doi: 10.1371/journal.pone.0003928. Epub 2008 Dec 11.","Field CB","PLoS One","2008","2008/12/17","PMC2592545","","10.1371/journal.pone.0003928"
"18761038","An open-source hardware and software system for acquisition and real-time processing of electrophysiology during high field MRI","Purdon PL, Millan H, Fuller PL, Bonmassar G.","J Neurosci Methods. 2008 Nov 15;175(2):165-86. doi: 10.1016/j.jneumeth.2008.07.017. Epub 2008 Aug 5.","Purdon PL","J Neurosci Methods","2008","2008/09/02","PMC2855223","NIHMS77940","10.1016/j.jneumeth.2008.07.017"
"18497359","Shape selectivity in primate frontal eye field","Peng X, Sereno ME, Silva AK, Lehky SR, Sereno AB.","J Neurophysiol. 2008 Aug;100(2):796-814. doi: 10.1152/jn.01188.2007. Epub 2008 May 21.","Peng X","J Neurophysiol","2008","2008/05/24","PMC2525712","","10.1152/jn.01188.2007"
"18400791","Activity in face-responsive brain regions is modulated by invisible, attended faces: evidence from masked priming","Kouider S, Eger E, Dolan R, Henson RN.","Cereb Cortex. 2009 Jan;19(1):13-23. doi: 10.1093/cercor/bhn048. Epub 2008 Apr 9.","Kouider S","Cereb Cortex","2009","2008/04/11","PMC2638745","","10.1093/cercor/bhn048"
"18381768","Quantitative multifocal fMRI shows active suppression in human V1","Pihlaja M, Henriksson L, James AC, Vanni S.","Hum Brain Mapp. 2008 Sep;29(9):1001-14. doi: 10.1002/hbm.20442.","Pihlaja M","Hum Brain Mapp","2008","2008/04/03","PMC6870839","","10.1002/hbm.20442"
"18326521","The influence of moderate hypercapnia on neural activity in the anesthetized nonhuman primate","Zappe AC, Uludağ K, Oeltermann A, Uğurbil K, Logothetis NK.","Cereb Cortex. 2008 Nov;18(11):2666-73. doi: 10.1093/cercor/bhn023. Epub 2008 Mar 6.","Zappe AC","Cereb Cortex","2008","2008/03/11","PMC2567427","","10.1093/cercor/bhn023"
"18217810","Topographical representation of binocular depth in the human visual cortex using fMRI","Bridge H, Parker AJ.","J Vis. 2007 Dec 17;7(14):15.1-14. doi: 10.1167/7.14.15.","Bridge H","J Vis","2007","2008/01/26","","","10.1167/7.14.15"
"18024083","fMRI of the temporal lobe of the awake monkey at 7 T","Goense JB, Ku SP, Merkle H, Tolias AS, Logothetis NK.","Neuroimage. 2008 Feb 1;39(3):1081-93. doi: 10.1016/j.neuroimage.2007.09.038. Epub 2007 Sep 29.","Goense JB","Neuroimage","2008","2007/11/21","","","10.1016/j.neuroimage.2007.09.038"
"17889562","Subregions of the ventral striatum show preferential coding of reward magnitude and probability","Yacubian J, Sommer T, Schroeder K, Gläscher J, Braus DF, Büchel C.","Neuroimage. 2007 Nov 15;38(3):557-63. doi: 10.1016/j.neuroimage.2007.08.007. Epub 2007 Aug 22.","Yacubian J","Neuroimage","2007","2007/09/25","","","10.1016/j.neuroimage.2007.08.007"
"17869540","Stereomotion processing in the human occipital cortex","Likova LT, Tyler CW.","Neuroimage. 2007 Nov 1;38(2):293-305. doi: 10.1016/j.neuroimage.2007.06.039. Epub 2007 Jul 28.","Likova LT","Neuroimage","2007","2007/09/18","","","10.1016/j.neuroimage.2007.06.039"
"17597168","Changes in cortical activity after training of working memory--a single-subject analysis","Westerberg H, Klingberg T.","Physiol Behav. 2007 Sep 10;92(1-2):186-92. doi: 10.1016/j.physbeh.2007.05.041. Epub 2007 May 21.","Westerberg H","Physiol Behav","2007","2007/06/29","","","10.1016/j.physbeh.2007.05.041"
"17497631","Localization of human intraparietal areas AIP, CIP, and LIP using surface orientation and saccadic eye movement tasks","Shikata E, McNamara A, Sprenger A, Hamzei F, Glauche V, Büchel C, Binkofski F.","Hum Brain Mapp. 2008 Apr;29(4):411-21. doi: 10.1002/hbm.20396.","Shikata E","Hum Brain Mapp","2008","2007/05/15","PMC6870972","","10.1002/hbm.20396"
"17395577","Morphology, language and the brain: the decompositional substrate for language comprehension","Marslen-Wilson WD, Tyler LK.","Philos Trans R Soc Lond B Biol Sci. 2007 May 29;362(1481):823-36. doi: 10.1098/rstb.2007.2091.","Marslen-Wilson WD","Philos Trans R Soc Lond B Biol Sci","2007","2007/03/31","PMC2430000","","10.1098/rstb.2007.2091"
"17360817","Two-dimensional mapping of the central and parafoveal visual field to human visual cortex","Schira MM, Wade AR, Tyler CW.","J Neurophysiol. 2007 Jun;97(6):4284-95. doi: 10.1152/jn.00972.2006. Epub 2007 Mar 14.","Schira MM","J Neurophysiol","2007","2007/03/16","","","10.1152/jn.00972.2006"
